transaction_number,transaction_date,transaction_type,transaction_description,debit_amount,credit_amount,balance,category,location_city,location_country,amount,direction
59,2022-06-07,DEB,Hotel on Booking.c,196.24,,783.19,Hotels,Nottingham,UK,196.24,debit
60,2022-06-07,DEB,AMZNMktplace,6.99,,979.43,Amazon,Nottingham,UK,6.99,debit
61,2022-06-07,BP,SAVE THE CHANGE,0.26,,986.42,Savings,Nottingham,UK,0.26,debit
62,2022-05-07,DEB,AMZNMktplace,15.99,,986.68,Amazon,Nottingham,UK,15.99,debit
63,2022-05-07,DEB,AMZNMktplace,2.75,,1002.67,Amazon,Nottingham,UK,2.75,debit
64,2022-04-07,DEP,CLUB LLOYDS WAIVED,,3.0,1005.42,Supplementary Income,Nottingham,UK,3.0,credit
65,2022-04-07,PAY,CLUB LLOYDS FEE,3.0,,1002.42,Bills,Nottingham,UK,3.0,debit
66,2022-04-07,FPI,O CONNOR CAROL,,10.0,1005.42,Supplementary Income,Nottingham,UK,10.0,credit
67,2022-04-07,BP,SAVE THE CHANGE,0.63,,995.42,Savings,Nottingham,UK,0.63,debit
68,2022-04-07,FPO,PAULINA PIPPEN,280.0,,996.05,Safety Deposit Return,Unknown,Unknown,280.0,debit
69,2022-04-07,DEB,AMZNMktplace,27.99,,1276.05,Amazon,Nottingham,UK,27.99,debit
70,2022-01-07,Unknown,INTEREST (GROSS),,0.56,1304.04,Interest,Nottingham,UK,0.56,credit
71,2022-01-07,DEB,TROPICAL SUMMER FE,240.38,,1303.48,Entertainment,Plymouth,UK,240.38,debit
72,2022-01-07,DEB,SumUp  *LTP,6.0,,1543.86,Services,Nottingham,UK,6.0,debit
73,2022-01-07,DD,BARCLAYS UK MTGES,981.71,,1549.86,Bills,Nottingham,UK,981.71,debit
74,2022-01-07,DD,NOTTM CITY COUNC,112.0,,2531.57,Bills,Nottingham,UK,112.0,debit
75,2022-01-07,DD,OCTOPUS ENERGY,100.0,,2643.57,Bills,Nottingham,UK,100.0,debit
76,2022-01-07,DD,SEVERN TRENT WATER,43.95,,2743.57,Bills,Nottingham,UK,43.95,debit
77,2022-01-07,SO,ESAVINGS ACCOUNT,300.0,,2787.52,Savings,Nottingham,UK,300.0,debit
78,2022-01-07,BP,SAVE THE CHANGE,0.17,,3087.52,Savings,Nottingham,UK,0.17,debit
79,2022-01-07,BGC,UNIV OF NOTTINGHAM,,44.32,3087.69,Supplementary Income,Nottingham,UK,44.32,credit
80,2022-06-30,DEB,LIDL GB  NOTTINGHA,8.83,,3043.37,Groceries,Nottingham,UK,8.83,debit
81,2022-06-29,DEB,Amazon.co.uk*2Y0SX,229.0,,3052.2,Amazon,Nottingham,UK,229.0,debit
82,2022-06-29,FPO,TRADING212UK,1000.0,,3281.2,Investment,Nottingham,UK,1000.0,debit
83,2022-06-29,DD,THE GYM LTD,19.99,,4281.2,Fitness,Nottingham,UK,19.99,debit
84,2022-06-29,BP,SAVE THE CHANGE,0.21,,4301.19,Savings,Nottingham,UK,0.21,debit
85,2022-06-29,BGC,UNIV OF NOTTINGHAM,,3748.52,4301.4,Paycheck,Nottingham,UK,3748.52,credit
86,2022-06-28,DEB,LIDL GB  NOTTINGHA,6.79,,552.88,Groceries,Nottingham,UK,6.79,debit
87,2022-06-28,BP,SAVE THE CHANGE,2.0,,559.67,Savings,Nottingham,UK,2.0,debit
88,2022-06-27,CPT,LNK TESCO HK R NOT,50.0,,561.67,Cash,nottingham,UK,50.0,debit
89,2022-06-27,DEB,LIDL GB NOTTINGHAM,22.09,,611.67,Groceries,Nottingham,UK,22.09,debit
90,2022-06-27,DEB,POUNDLAND LTD 1718,14.25,,633.76,Groceries,Nottingham,UK,14.25,debit
91,2022-06-27,DEB,UBER   *TRIP,5.78,,648.01,Travel,Unknown,Unknown,5.78,debit
92,2022-06-27,DEB,IZ *LTD GROUP LIMI,4.93,,653.79,Home Improvement,Nottingham,UK,4.93,debit
93,2022-06-27,DEB,GREGGS PLC,3.95,,658.72,Dine Out,Unknown,Unknown,3.95,debit
94,2022-06-27,BP,SAVE THE CHANGE,3.26,,662.67,Savings,Nottingham,UK,3.26,debit
95,2022-06-27,DEB,HEAVENLY DESSERTS,11.9,,665.93,Dine Out,Nottingham,UK,11.9,debit
96,2022-06-27,DEB,LIDL GB  NOTTINGHA,13.06,,677.83,Groceries,Nottingham,UK,13.06,debit
97,2022-06-24,DEB,PIE MINISTER,41.2,,690.89,Dine Out,Nottingham,UK,41.2,debit
98,2022-06-24,DEB,BELL INN,14.09,,732.09,Dine Out,Nottingham,UK,14.09,debit
99,2022-06-24,DEB,CAFE TERRAZZO,3.5,,746.18,Dine Out,Nottingham,UK,3.5,debit
100,2022-06-24,DEB,Audible UK,7.99,,749.68,Entertainment,Nottingham,UK,7.99,debit
101,2022-06-24,DEB,PIE MINISTER,,8.17,757.67,Supplementary Income,Nottingham,UK,8.17,credit
102,2022-06-23,BP,SAVE THE CHANGE,1.26,,749.5,Savings,Nottingham,UK,1.26,debit
103,2022-06-22,DEB,DOMINO'S PIZZA,9.99,,750.76,Dine Out,Unknown,Unknown,9.99,debit
104,2022-06-22,DEB,LIDL GB NOTTINGHAM,5.25,,760.75,Groceries,Nottingham,UK,5.25,debit
105,2022-06-22,DEB,CAFE TERRAZZO,3.5,,766.0,Dine Out,Nottingham,UK,3.5,debit
106,2022-06-22,BP,SAVE THE CHANGE,1.09,,769.5,Savings,Nottingham,UK,1.09,debit
107,2022-06-21,DEB,UBER   *TRIP,6.59,,770.59,Travel,Unknown,Unknown,6.59,debit
108,2022-06-21,DEB,NON-GBP TRANS FEE,0.06,,777.18,Others,Nottingham,UK,0.06,debit
109,2022-06-21,DEB,ROMA TERMINI SELF,2.32,,777.24,Travel,Roma,Italy,2.32,debit
110,2022-06-21,BP,SAVE THE CHANGE,0.92,,779.56,Savings,Nottingham,UK,0.92,debit
111,2022-06-20,DEB,DOSA N CHUTNEY,41.2,,780.48,Dine Out,Nottingham,UK,41.2,debit
112,2022-06-20,FPO,PAULINA PIPPEN,4.52,,821.68,Food Shopping,Unknown,Unknown,4.52,debit
113,2022-06-20,FPO,MISS D WU,11.0,,826.2,Services,Nottingham,UK,11.0,debit
114,2022-06-20,FPO,TRADING212UK,200.0,,837.2,Investment,Nottingham,UK,200.0,debit
115,2022-06-20,FPI,SHEILA SMITH,,390.0,1037.2,Supplementary Income,Nottingham,UK,390.0,credit
116,2022-06-20,DEB,NON-GBP TRANS FEE,0.44,,647.2,Others,Nottingham,UK,0.44,debit
117,2022-06-20,DEB,CHEF EXPRESS S.P.A,14.88,,647.64,Dine Out,Roma,Italy,14.88,debit
118,2022-06-20,BP,SAVE THE CHANGE,1.72,,662.52,Savings,Nottingham,UK,1.72,debit
119,2022-06-20,DEB,NON-GBP TRANS FEE,0.57,,664.24,Others,Nottingham,UK,0.57,debit
120,2022-06-20,DEB,MS* CASASANTASOFIA,19.27,,664.81,Services,Nottingham,UK,19.27,debit
121,2022-06-20,DEB,NON-GBP TRANS FEE,0.37,,684.08,Others,Nottingham,UK,0.37,debit
122,2022-06-20,DEB,Pizza Forum,12.47,,684.45,Dine Out,Roma,Italy,12.47,debit
123,2022-06-20,DEB,AMZNMktplace,23.0,,696.92,Amazon,Nottingham,UK,23.0,debit
124,2022-06-20,DEB,NON-GBP TRANS FEE,0.46,,719.92,Others,Nottingham,UK,0.46,debit
125,2022-06-20,DEB,BUDDY ITALIAN REST,15.54,,720.38,Dine Out,Roma,Italy,15.54,debit
126,2022-06-17,DD,VIRGIN MEDIA PYMTS,56.25,,735.92,Bills,Nottingham,UK,56.25,debit
127,2022-06-17,BP,SAVE THE CHANGE,1.26,,792.17,Savings,Nottingham,UK,1.26,debit
128,2022-06-16,DEB,NON-GBP TRANS FEE,0.76,,793.43,Others,Nottingham,UK,0.76,debit
129,2022-06-16,DEB,UBER   *TRIP,25.57,,794.19,Travel,Roma,Italy,25.57,debit
130,2022-06-16,DEB,NON-GBP TRANS FEE,0.57,,819.76,Others,Nottingham,UK,0.57,debit
131,2022-06-16,DEB,UBER *TRIP HELP.UB,19.17,,820.33,Travel,Roma,Italy,19.17,debit
132,2022-06-16,DD,O2,18.01,,839.5,Other Shopping,Nottingham,UK,18.01,debit
133,2022-06-15,BP,SAVE THE CHANGE,0.51,,857.51,Savings,Nottingham,UK,0.51,debit
134,2022-06-14,DEB,NON-GBP TRANS FEE,5.11,,858.02,Others,Nottingham,UK,5.11,debit
135,2022-06-14,DEB,POSTE ITALIANE,171.0,,863.13,Others,Nottingham,UK,171.0,debit
136,2022-06-14,DEB,HPI INSTANT INK UK,4.49,,1034.13,Other Shopping,Nottingham,UK,4.49,debit
137,2022-06-14,BP,SAVE THE CHANGE,0.51,,1038.62,Savings,Nottingham,UK,0.51,debit
138,2022-06-13,DEB,EAST MIDS RAILWAY,56.7,,1039.13,Travel,Roma,Italy,56.7,debit
139,2022-06-13,DEB,WH SMITH,8.79,,1095.83,Other Shopping,Nottingham,UK,8.79,debit
140,2022-06-13,BP,SAVE THE CHANGE,4.3,,1104.62,Savings,Nottingham,UK,4.3,debit
141,2022-06-13,DEB,ASIANA HYPERMARKET,60.83,,1108.92,Groceries,Nottingham,UK,60.83,debit
142,2022-06-13,DEB,LIDL GB NOTTINGHAM,34.12,,1169.75,Groceries,Nottingham,UK,34.12,debit
143,2022-06-13,DEB,UBER* TRIP,7.01,,1203.87,Travel,Unknown,Unknown,7.01,debit
144,2022-06-13,CPT,LNK NOTTINGHAM RAI,30.0,,1210.88,Cash,Nottingham,UK,30.0,debit
145,2022-06-13,DEB,UBER   *TRIP,7.51,,1240.88,Travel,Unknown,Unknown,7.51,debit
146,2022-06-13,DEB,AMZNMktplace,5.55,,1248.39,Amazon,Nottingham,UK,5.55,debit
147,2022-06-13,FPO,MISS D WU,29.0,,1253.94,Services,Nottingham,UK,29.0,debit
148,2022-06-13,DEB,DOMINO'S PIZZA - H,,9.99,1282.94,Supplementary Income,Nottingham,UK,9.99,credit
149,2022-10-06,FPO,MISS D WU,16.0,,1272.95,Services,Nottingham,UK,16.0,debit
150,2022-10-06,DEB,LIDL GB  NOTTINGHA,11.43,,1288.95,Groceries,Nottingham,UK,11.43,debit
151,2022-10-06,DEB,CAFE TERRAZZO,2.25,,1300.38,Dine Out,Nottingham,UK,2.25,debit
152,2022-09-06,BP,SAVE THE CHANGE,0.97,,1302.63,Savings,Nottingham,UK,0.97,debit
153,2022-08-06,DEB,Subway 32610 Midla,13.78,,1303.6,Dine Out,Nottingham,UK,13.78,debit
154,2022-08-06,DEB,CAFE TERRAZZO,2.25,,1317.38,Dine Out,Nottingham,UK,2.25,debit
155,2022-07-06,BP,SAVE THE CHANGE,2.04,,1319.63,Savings,Nottingham,UK,2.04,debit
156,2022-06-06,DEP,CLUB LLOYDS WAIVED,,3.0,1321.67,Amazon,Nottingham,UK,3.0,credit
157,2022-06-06,PAY,CLUB LLOYDS FEE,3.0,,1318.67,Bills,Nottingham,UK,3.0,debit
158,2022-06-06,DEB,AMZNMktplace,9.99,,1321.67,Supplementary Income,Nottingham,UK,9.99,debit
159,2022-06-06,DEB,PRIMARK,38.3,,1331.66,Clothes,Unknown,Unknown,38.3,debit
160,2022-06-06,DEB,BLEND COFFEE HOUSE,18.45,,1369.96,Dine Out,Nottingham,UK,18.45,debit
161,2022-06-06,DEB,Murat food centre,13.81,,1388.41,Groceries,Nottingham,UK,13.81,debit
162,2022-06-06,DEB,HEAVENLY DESSERTS,4.41,,1402.22,Dine Out,Nottingham,UK,4.41,debit
163,2022-06-06,DEB,BLEND COFFEE HOUSE,,3.25,1406.63,Supplementary Income,Nottingham,UK,3.25,credit
164,2022-06-06,BP,SAVE THE CHANGE,2.76,,1403.38,Savings,Nottingham,UK,2.76,debit
165,2022-06-06,DEB,WHITE ROSE TRADING,29.05,,1406.14,Clothes,Unknown,Unknown,29.05,debit
166,2022-06-06,DEB,PIE MINISTER,23.0,,1435.19,Dine Out,Nottingham,UK,23.0,debit
167,2022-06-06,DEB,CINEWORLD NOT CP,19.98,,1458.19,Entertainment,Nottingham,UK,19.98,debit
168,2022-06-06,DEB,LIDL GB NOTTINGHAM,16.37,,1478.17,Groceries,Nottingham,UK,16.37,debit
169,2022-06-06,DEB,CLOUD9 PURSUITS LT,10.0,,1494.54,Entertainment,Reading,UK,10.0,debit
170,2022-06-06,DEB,DOMINO'S PIZZA,9.99,,1504.54,Dine Out,Unknown,Unknown,9.99,debit
171,2022-06-06,DEB,DOMINO'S PIZZA,9.99,,1514.53,Dine Out,Unknown,Unknown,9.99,debit
172,2022-06-06,DEB,DOMINO'S PIZZA,9.99,,1524.52,Dine Out,Unknown,Unknown,9.99,debit
173,2022-06-06,DEB,Amazon.co.uk*2G6K0,6.98,,1534.51,Amazon,Nottingham,UK,6.98,debit
174,2022-06-06,DEB,DOMINO'S PIZZA,1.64,,1541.49,Dine Out,Unknown,Unknown,1.64,debit
175,2022-06-06,DEB,LIDL GB  NOTTINGHA,9.0,,1543.13,Groceries,Nottingham,UK,9.0,debit
176,2022-01-06,Unknown,INTEREST (GROSS),,0.56,1552.13,Interest,Nottingham,UK,0.56,credit
177,2022-01-06,DEB,CAFE TERRAZZO,4.25,,1551.57,Dine Out,Nottingham,UK,4.25,debit
178,2022-01-06,DD,BARCLAYS UK MTGES,981.71,,1555.82,Bills,Nottingham,UK,981.71,debit
179,2022-01-06,DD,NOTTM CITY COUNC,112.0,,2537.53,Bills,Nottingham,UK,112.0,debit
180,2022-01-06,DD,OCTOPUS ENERGY,100.0,,2649.53,Bills,Nottingham,UK,100.0,debit
181,2022-01-06,DD,SEVERN TRENT WATER,43.97,,2749.53,Bills,Nottingham,UK,43.97,debit
182,2022-01-06,SO,ESAVINGS ACCOUNT,300.0,,2793.5,Savings,Nottingham,UK,300.0,debit
183,2022-05-31,BP,SAVE THE CHANGE,1.71,,3093.5,Savings,Nottingham,UK,1.71,debit
184,2022-05-30,DEB,13th Element,35.5,,3095.21,Dine Out,Nottingham,UK,35.5,debit
185,2022-05-30,DEB,ORIENTAL MART HYDR,16.49,,3130.71,Groceries,Nottingham,UK,16.49,debit
186,2022-05-30,DEB,IZ *WHITE ROSE TRA,12.0,,3147.2,Clothes,Unknown,Unknown,12.0,debit
187,2022-05-30,DEB,THE GYM LIMITED,10.0,,3159.2,Fitness,Nottingham,UK,10.0,debit
188,2022-05-30,DEB,HUI LAU SHAN,9.8,,3169.2,Dine Out,Nottingham,UK,9.8,debit
189,2022-05-30,DEB,POUNDLAND LTD 1718,1.5,,3179.0,Groceries,Nottingham,UK,1.5,debit
190,2022-05-30,FPO,TRADING212UK,1100.0,,3180.5,Investment,Nottingham,UK,1100.0,debit
191,2022-05-30,BP,SAVE THE CHANGE,1.89,,4280.5,Savings,Nottingham,UK,1.89,debit
192,2022-05-30,BGC,UNIV OF NOTTINGHAM,,3748.92,4282.39,Paycheck,Nottingham,UK,3748.92,credit
193,2022-05-30,FPO,MISS D WU,26.0,,533.47,Services,Nottingham,UK,26.0,debit
194,2022-05-30,DEB,BACHATA SUENO,24.0,,559.47,Entertainment,Nottingham,UK,24.0,debit
195,2022-05-30,DEB,LIDL GB  NOTTINGHA,11.58,,583.47,Groceries,Nottingham,UK,11.58,debit
196,2022-05-30,DEB,Amazon.co.uk*2G8AO,5.99,,595.05,Amazon,Nottingham,UK,5.99,debit
197,2022-05-27,DEB,AMZNMktplace,55.58,,601.04,Amazon,Nottingham,UK,55.58,debit
198,2022-05-27,DEB,LIDL GB NOTTINGHAM,31.9,,656.62,Groceries,Nottingham,UK,31.9,debit
199,2022-05-27,DEB,UBER   *TRIP,5.06,,688.52,Travel,Unknown,Unknown,5.06,debit
200,2022-05-27,BP,SAVE THE CHANGE,1.03,,693.58,Savings,Nottingham,UK,1.03,debit
201,2022-05-26,CPT,LNK TESCO NO RA RD,50.0,,694.61,Cash,Nottingham,UK,50.0,debit
202,2022-05-26,DEB,LIDL GB  NOTTINGHA,6.47,,744.61,Groceries,Nottingham,UK,6.47,debit
203,2022-05-26,DEB,CAFE TERRAZZO,2.5,,751.08,Dine Out,Nottingham,UK,2.5,debit
204,2022-05-26,BP,SAVE THE CHANGE,0.53,,753.58,Savings,Nottingham,UK,0.53,debit
205,2022-05-25,DEB,LIDL GB NOTTINGHAM,16.83,,754.11,Groceries,Nottingham,UK,16.83,debit
206,2022-05-25,DEB,AMZNMktplace,6.99,,770.94,Amazon,Nottingham,UK,6.99,debit
207,2022-05-25,DEB,CAFE TERRAZZO,2.65,,777.93,Dine Out,Nottingham,UK,2.65,debit
208,2022-05-25,FPO,TRADING212UK,200.0,,780.58,Investment,Nottingham,UK,200.0,debit
209,2022-05-25,FPI,PAULINA PIPPEN,,325.0,980.58,Supplementary Income,Nottingham,UK,325.0,credit
210,2022-05-25,BP,SAVE THE CHANGE,0.71,,655.58,Savings,Nottingham,UK,0.71,debit
211,2022-05-24,DEB,LIDL GB  NOTTINGHA,5.3,,656.29,Groceries,Nottingham,UK,5.3,debit
212,2022-05-24,DEB,Audible UK,7.99,,661.59,Entertainment,Nottingham,UK,7.99,debit
213,2022-05-24,BP,SAVE THE CHANGE,0.31,,669.58,Savings,Nottingham,UK,0.31,debit
214,2022-05-23,DEB,POUNDLAND LTD 1726,16.0,,669.89,Groceries,Nottingham,UK,16.0,debit
215,2022-05-23,DEB,TESCO STORE 2960,15.69,,685.89,Groceries,Unknown,Unknown,15.69,debit
216,2022-05-23,DEB,ALADDINS BIKES,120.0,,701.58,Other Shopping,Nottingham,UK,120.0,debit
217,2022-05-23,BP,SAVE THE CHANGE,1.37,,821.58,Savings,Nottingham,UK,1.37,debit
218,2022-05-23,DEB,IZ *WHITE ROSE TRA,12.5,,822.95,Clothes,Unknown,Unknown,12.5,debit
219,2022-05-23,DEB,TESCO STORES 6430,2.75,,835.45,Groceries,Unknown,Unknown,2.75,debit
220,2022-05-23,CPT,LNK SAINSBURYS BAN,40.0,,838.2,Cash,Unknown,Unknown,40.0,debit
221,2022-05-20,FPO,MISS D WU,15.0,,878.2,Services,Nottingham,UK,15.0,debit
222,2022-05-20,DEB,Kaya Food Centre,6.38,,893.2,Groceries,Nottingham,UK,6.38,debit
223,2022-05-20,DEB,ALADDINS BIKES,22.0,,899.58,Other Shopping,Nottingham,UK,22.0,debit
224,2022-05-20,FPO,MISS D WU,22.0,,921.58,Services,Nottingham,UK,22.0,debit
225,2022-05-20,FPO,TRADING212UK,300.0,,943.58,Investment,Nottingham,UK,300.0,debit
226,2022-05-20,FPI,SHEILA SMITH,,380.0,1243.58,Supplementary Income,Nottingham,UK,380.0,credit
227,2022-05-20,BP,SAVE THE CHANGE,1.36,,863.58,Savings,Nottingham,UK,1.36,debit
228,2022-05-19,DEB,AMZNMktplace,33.02,,864.94,Amazon,Nottingham,UK,33.02,debit
229,2022-05-19,DEB,Amazon.co.uk*255RJ,14.99,,897.96,Amazon,Nottingham,UK,14.99,debit
230,2022-05-19,DEB,LIDL GB  NOTTINGHA,4.63,,912.95,Groceries,Nottingham,UK,4.63,debit
231,2022-05-19,BP,SAVE THE CHANGE,1.32,,917.58,Savings,Nottingham,UK,1.32,debit
232,2022-05-18,DEB,ORIENTAL MART HYDR,26.16,,918.9,Groceries,Nottingham,UK,26.16,debit
233,2022-05-18,DEB,IZ *WHITE ROSE TRA,10.0,,945.06,Clothes,Unknown,Unknown,10.0,debit
234,2022-05-18,DEB,AMZNMktplace,2.87,,955.06,Amazon,Nottingham,UK,2.87,debit
235,2022-05-18,DEB,CAFE TERRAZZO,2.65,,957.93,Dine Out,Nottingham,UK,2.65,debit
236,2022-05-18,BP,SAVE THE CHANGE,0.85,,960.58,Savings,Nottingham,UK,0.85,debit
237,2022-05-17,DEB,Amazon.co.uk*257UG,12.15,,961.43,Amazon,Nottingham,UK,12.15,debit
238,2022-05-17,DD,VIRGIN MEDIA PYMTS,25.5,,973.58,Bills,Nottingham,UK,25.5,debit
239,2022-05-17,BP,SAVE THE CHANGE,0.98,,999.08,Savings,Nottingham,UK,0.98,debit
240,2022-05-16,DEB,NATIONAL MERCH,30.0,,1000.06,Clothes,Unknown,Unknown,30.0,debit
241,2022-05-16,DEB,HEAVENLY DESSERTS,11.34,,1030.06,Dine Out,Nottingham,UK,11.34,debit
242,2022-05-16,DEB,HEAVENLY DESSERTS,4.68,,1041.4,Dine Out,Nottingham,UK,4.68,debit
243,2022-05-16,DD,O2,17.95,,1046.08,Other Shopping,Nottingham,UK,17.95,debit
244,2022-05-16,BP,SAVE THE CHANGE,3.17,,1064.03,Savings,Nottingham,UK,3.17,debit
245,2022-05-16,DEB,SAINSBURYS S/MKTS,35.8,,1067.2,Groceries,Unknown,Unknown,35.8,debit
246,2022-05-16,DEB,DOSA N CHUTNEY,32.2,,1103.0,Dine Out,Nottingham,UK,32.2,debit
247,2022-05-16,DEB,Amazon.co.uk*259S0,7.99,,1135.2,Amazon,Nottingham,UK,7.99,debit
248,2022-05-16,DEB,LIDL GB  NOTTINGHA,15.84,,1143.19,Groceries,Nottingham,UK,15.84,debit
249,2022-05-16,DEB,Amazon.co.uk*255B9,10.99,,1159.03,Amazon,Nottingham,UK,10.99,debit
250,2022-05-16,DEB,ALADDINS BIKES,6.0,,1170.02,Other Shopping,Nottingham,UK,6.0,debit
